probCluster1,probCluster2,probCluster3,probCluster4,cluster,site,id,replicate,subspecies,date_flowered_std,avg_protandry,avg_herkogamy,mean_petal_area_sq_cm
5.555405998398731e-4,0.99944445940016,5.381417709732604e-21,0,2,GC,644,B,U,22,7,4,2.6506666666666665
0.05279273271960965,0.9472072672803903,1.4051683452580983e-36,0,2,GC,644,C,U,13,7.5,7.5,2.402
0.9407937683996694,0.05920623160033052,4.054321326418611e-17,0,1,GC,645,A,U,13,7.5,5,1.89
0.9940406822795713,0.005959315632583392,2.0878452858704736e-9,0,1,GC,645,B,U,17,4.75,4,1.5195
0.2709253729883403,0.7290746270116597,2.2887189739995512e-39,0,2,GC,645,C,U,17,10,8.5,1.711
0.9477370962188094,0.05226290370927117,7.191943505541382e-11,0,1,GC,646,A,U,17,6.75,3.5,1.8515
0.9967050017861581,0.0032949982098583143,3.983541642114819e-12,0,1,GC,646,B,U,12,5.5,4.5,1.6025
4.5909123871473153e-4,0.9995409087612852,6.562614213301935e-38,0,2,GC,646,C,U,22,13.75,8,1.8795
0.3085323424745145,0.6914676575254856,1.208423814598999e-41,0,2,GC,647,A,U,18,5.75,8.5,2.108
0.857887885737847,0.14211211426215298,1.0411556763223204e-51,0,1,GC,647,B,U,12,7.5,10,1.658
0.9938007393612014,0.006199260638798647,7.718135973633401e-21,0,1,GC,647,C,U,7,4.75,6,1.8515
4.7422614064178725e-5,0.9999525773859359,1.377881496713788e-57,0,2,GC,648,A,U,14,10,9.5,2.69
0.0020755656589443792,0.9979244343410556,5.177607934177526e-35,0,2,GC,648,B,U,21,8.75,7,2.3935
0.016724792600056923,0.9832752073999431,3.279404879283479e-22,0,2,GC,648,C,U,17,9.25,5,2.3825000000000003
0.9561915663180637,0.043807696617130625,7.370648057342363e-7,0,1,GC,649,A,U,13,9.5,2.5,1.6935
0.6285721936467648,0.37142780635256556,6.697398514945708e-13,0,1,GC,649,B,U,13,8.75,3.5,2.136
0.9977868109034951,0.0022131890964887284,1.6103925920923578e-14,0,1,GC,649,C,U,8,5,5,1.68
0.937251367794421,0.06274863199739603,2.081829875760471e-10,0,1,GC,650,A,U,20,5.25,3.5,1.8345
0.006126660304837389,0.9938733396951627,6.341980191009502e-20,0,2,GC,650,B,U,27,5.25,4.5,2.3129999999999997
0.7422128211960113,0.2577871788039887,8.621893706728296e-28,0,1,GC,650,C,U,16,4.5,6.75,2.1340000000000003
