"","chrom","ind","taxa","site","subsp","cutoff0.9","weighted","ind2","Tag","lat","lon","ele","distance2hetero","id","replicate","uniqueID","fl_1_open","fl_1_anthers","fl_1_stigma","fl_1_protandry","fl_1_herkogamy","fl_2_open","fl_2_anthers","fl_2_stigma","fl_2_protandry","fl_2_herkogamy","node","date_flowered","avg_protandry","avg_herkogamy","notes","date_flowered_std","mean_petal_area_sq_cm","number_petals_measured","petal_color"
"300","whole_genome","SM-1118x","SM_x","SM","X",0.0135935576187149,0.0601194762448605,"1118","SM-1118-X",35.603874,-118.416653,1114.366943,26.2427586087714,1118,"N","SM-1118","3/18/20","3/18/20","3/22/20",4,6,"3/19/20","3/19/20","3/25/20",6,8,20,"3/18/20",5,7,NA,16,0.725,2,"pink"
"301","whole_genome","SM-1122x","SM_x","SM","X",0.0095383195819877,0.0492208587987697,"1122","SM-1122-X",35.603798,-118.417192,1126.624878,73.9613544382752,1122,"N","SM-1122","3/29/20","3/30/20","4/5/20",6,5,"3/30/20","3/31/20","4/6/20",6,5,16,"3/29/20",6,5,NA,27,1.088,2,"pink"
"302","whole_genome","SM-1123x","SM_x","SM","X",0.0139572320725205,0.0630870872810919,"1123","SM-1123-X",35.603794,-118.417365,1128.143555,89.578605345953,1123,"N","SM-1123","3/22/20","3/23/20","3/29/20",6,4,"3/23/20","3/24/20","3/30/20",6,4,13,"3/22/20",6,4,NA,20,1.4295,2,"pink"
"303","whole_genome","SM-1124x","SM_x","SM","X",0.0175630039743619,0.0759836203211726,"1124","SM-1124-X",35.60418,-118.417634,1143.442627,118.784119447098,1124,"N","SM-1124","4/10/20","4/10/20","4/16/20",6,1,"4/11/20","4/11/20","4/17/20",6,4,28,"4/10/20",6,2.5,NA,39,1.183,2,"pink"
"304","whole_genome","SM-1125x","SM_x","SM","X",0.0116592760872889,0.0538091302846535,"1125","SM-1125-X",35.60489,-118.418387,1166.720581,214.392188728232,1125,"N","SM-1125","3/24/20","3/25/20","3/31/20",6,2,"3/25/20","3/26/20","4/2/20",7,3,13,"3/24/20",6.5,2.5,NA,22,1.5475,2,"pink"
"305","whole_genome","SM-1127x","SM_x","SM","X",0.0284223526479186,0.0799431738469745,"1127","SM-1127-X",35.604822,-118.418507,1173.060059,219.888392414216,1127,"N","SM-1127","3/22/20","3/23/20","3/30/20",7,8,"3/23/20","3/24/20","3/31/20",7,5,16,"3/22/20",7,6.5,NA,20,1.537,2,"pink"
"306","whole_genome","SM-1130x","SM_x","SM","X",0.0239193051399991,0.0710226752169085,"1130","SM-1130-X",35.604964,-118.418791,1185.277588,250.003347259144,1130,"N","SM-1130","3/26/20","3/27/20","4/5/20",9,3,"3/27/20","3/28/20","4/5/20",8,5,19,"3/26/20",8.5,4,NA,24,1.2985,2,"pink"
"307","whole_genome","SM-1131x","SM_x","SM","X",0.0178615574783684,0.0642012120791595,"1131","SM-1131-X",35.605045,-118.418838,1187.874268,258.179255430474,1131,"N","SM-1131","4/1/20","4/2/20","4/7/20",5,4,"4/2/20","4/3/20","4/8/20",5,4,11,"4/1/20",5,4,NA,30,1.3935,2,"pink"
"308","whole_genome","SM-1132x","SM_x","SM","X",0.0149422497766109,0.0601299056447739,"1132","SM-1132-X",35.604716,-118.418656,1180.525513,226.594751469992,1132,"N","SM-1132","3/23/20","3/25/20","3/30/20",5,2,"3/24/20","3/25/20","3/30/20",5,3,14,"3/23/20",5,2.5,NA,21,1.14,2,"pink"
"309","whole_genome","SM-1134x","SM_x","SM","X",0.0236141881288655,0.0733125975056633,"1134","SM-1134-X",35.604285,-118.417955,1152.605347,149.964443752319,1134,"N","SM-1134","3/16/20","3/17/20","3/23/20",6,3,"3/19/20","3/20/20","3/26/20",6,3,14,"3/16/20",6,3,NA,14,1.616,2,"pink"
