site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
SAW,157,N,SAW-157,X,21,1/3/20,4,6,1.39147,35.679167,-118.474556,917.439209
SAW,94,N,SAW-94,P,27,1/4/20,0,0,0.14143,35.678976,-118.473298,900.584412
SAW,100,N,SAW-100,P,34,1/4/20,0,0,0.272845,35.678982,-118.473122,892.653809
SAW,139,N,SAW-139,X,25,1/4/20,1.5,4,1.558735,35.679937,-118.474009,904.363037
SAW,229,N,SAW-229,X,21,1/4/20,2,2.5,1.87262,35.679549,-118.474681,951.992188
SAW,233,N,SAW-233,X,26,1/4/20,2,4.5,1.5015800000000001,35.679913,-118.474762,954.968994
SAW,137,N,SAW-137,X,24,1/4/20,2.5,4,1.1850100000000001,35.67992,-118.473934,900.738831
SAW,138,N,SAW-138,X,20,1/4/20,3.5,4,1.513,35.679971,-118.473935,903.517029
SAW,150,N,SAW-150,X,17,1/4/20,4,4.5,1.55478,35.679681,-118.474492,918.112244
SAW,101,N,SAW-101,P,22,1/5/20,0.5,0,0.15842,35.678984,-118.473466,903.420471
SAW,35,N,SAW-35,P,29,1/5/20,1,0,0.15198,35.680971,-118.473379,895.913086
SAW,231,N,SAW-231,X,23,1/5/20,2.5,1,1.6028099999999998,35.679746,-118.474732,950.376465
SAW,1065,N,SAW-1065,X,19,1/5/20,2.5,5.25,1.124215,35.679787,-118.475222,960.122131
SAW,162,N,SAW-162,X,17,1/5/20,3.5,4,1.835195,35.678937,-118.47397,911.603577
SAW,90,N,SAW-90,P,27,1/6/20,0,0,0.18205,35.678883,-118.47329,904.06958
SAW,64,N,SAW-64,P,24,1/6/20,0.5,0.75,0.15195,35.680211,-118.473809,902.253418
SAW,124,N,SAW-124,X?,20,1/6/20,1.5,0.5,NA,35.679113,-118.473702,897.984802
SAW,114,N,SAW-114,X,22,1/6/20,2,7.5,1.268275,35.678969,-118.473658,906.508667
SAW,89,N,SAW-89,X,20.5,1/6/20,2.5,4,1.5549,35.678827,-118.473489,911.101074
SAW,165,N,SAW-165,X,17,1/6/20,3,5,1.4581,35.679116,-118.474352,911.745483
SAW,1067,N,SAW-1067,X,21,1/6/20,4,4.5,1.67926,35.679787,-118.475061,951.18518099999994
SAW,1063,N,SAW-1063,X,21,1/7/20,1,2.5,NA,35.679625,-118.475112,949.328552
SAW,93,N,SAW-93,X,17,1/7/20,3.5,7.5,NA,35.678912,-118.473308,902.522034
SAW,28,N,SAW-28,P,20,1/8/20,0.5,2,0.17942999999999998,35.680967,-118.473418,899.57373
